filename,width,height,label,points
Karavatti_800_1.png,8192,4283,green-800,"2030.87,463.17"
Karavatti_800_1.png,8192,4283,green-800,"2633.01,365.81;2388.45,250.54;2253.70,425.78"
Karavatti_800_1.png,8192,4283,green-800,"2521.55,762.25"
Karavatti_800_1.png,8192,4283,non-green-800,"2381.36,549.62;2499.75,527.81;2623.59,505.23;2639.16,481.08;2407.06,647.76;2224.81,784.06;2177.30,770.82;2462.36,460.83;2623.59,722.53;2505.98,661.00"
Karavatti_800_1.png,8192,4283,non-green-800,"5255.08,2515.08;5054.15,2390.50;5046.11,2386.48;4877.32,2486.95;5110.41,2583.40;5520.32,2736.12;5596.68,2386.48;4013.28,2334.24;3418.50,2916.96;3643.56,2804.44"
Karavatti_800_1.png,8192,4283,non-green-800,"5886.03,3901.56;6340.15,3668.47;5660.98,3411.27;6143.23,3045.56;6203.52,2965.19;6348.19,3125.94;6886.71,3097.81;6713.90,4142.69;6601.37,4198.95;6368.29,4223.06;6537.07,4267.27;7441.30,3817.17;7272.51,2969.21;6906.80,3073.69;7296.62,2695.93;7147.93,2663.78"
Karavatti_800_1.png,8192,4283,non-green-800,"1958.90,714.89;3635.09,451.96;3856.94,493.04;4842.94,1281.84;4974.41,1364.01;2106.79,1569.43;2616.23,1216.11;2156.09,2941.61;1811.00,2522.56;2410.81,2161.02;964.68,1626.94;570.28,1980.26;0.00,2146.59;0.00,2180.38;1211.18,3746.84;2213.61,3442.82;2435.46,3393.52;3651.53,3779.70;3824.07,3837.22;4366.37,3656.46;6856.02,3451.04;6568.44,3409.96;6568.44,3409.96;7776.28,2489.69;7636.60,1791.28;6929.97,1207.89;6913.54,1216.11;7398.32,534.13;7620.17,410.88;7620.17,0.00;7586.74,0.00;5089.44,1224.33;3363.94,739.54;3322.86,599.86;3158.53,739.54;3717.26,279.41;3725.47,287.63;1802.78,764.19;1515.20,1207.89;537.41,1544.78;258.05,2941.61;1350.86,3056.64;1613.80,3500.34;1860.30,3796.14;1318.00,3853.65;3125.66,3722.19;5360.59,3935.82;7932.40,2612.94;1981.08,842.25;2248.94,1662.27;2906.27,2571.86;3320.39,2864.37;3020.49,3229.19;3905.42,3976.90;3215.22,4146.99;3174.14,3927.60;2119.12,883.34;2549.67,672.17;2541.46,680.38;4400.06,1516.84;3742.73,940.03;1225.97,193.14;795.42,1362.37;511.12,785.56;1071.50,1743.62;1014.80,1963.00;2265.38,3050.89;2451.89,2742.76;2427.24,2750.98;7055.68,1321.28;8045.79,1289.24;8045.79,1281.02;7777.93,1865.23;7031.03,3635.91;7079.51,4082.08;8110.70,3375.45;7964.44,3067.32;6844.52,2011.48;6844.52,2019.70"
Karavatti_800_1.png,8192,4283,non-green-800,"6146.24,2166.34;6917.53,2539.81;7518.33,3725.17;7299.12,2653.47;7461.50,2491.09;7453.38,2499.21;7745.66,1005.33;8143.49,1070.28;3767.39,3903.79;5180.08,1987.72;1047.55,2385.55;1721.42,2409.90;1721.42,2401.79;1437.26,907.90;40.80,2953.87;6438.52,2556.04;6519.71,2832.09;5415.53,1898.41;7429.03,3173.08;7623.88,4001.21;7526.45,4212.31;5464.25,4066.17;4457.50,3773.88;5862.07,1817.22;7786.26,1281.37;8021.71,1882.17;89.51,2263.76;97.63,2280.00;820.22,2897.04;430.51,3278.63;1461.61,3189.32;1924.39,2677.83;1932.51,2653.47;2517.07,2247.53;2695.69,1321.97;4189.57,185.32;5894.55,1273.25;5456.13,3660.22;7786.26,87.89;7648.24,550.67;868.93,420.77;536.06,31.06;154.47,258.39;16.44,802.36;803.98,2685.95;641.60,2125.74;560.41,2409.90;2143.60,1744.15;2265.39,2101.38;2874.31,1330.09;2939.26,1232.66;3142.23,1240.78;3434.51,826.71;5212.56,1370.68;5107.01,1524.94;3954.12,607.50;3767.39,542.55;4343.83,39.18;4027.19,6.70;836.46,3871.31;1494.09,2474.86;1494.09,2482.97;1778.25,1817.22;1786.37,1800.98;1534.68,1557.42;1591.52,1305.73;3783.63,1175.83;5675.34,2905.16"
Karavatti_800_1.png,8192,4283,non-green-800,"7031.20,4252.90;6755.16,3830.72;6958.13,3587.15;4944.63,1273.25"
Karavatti_800_1.png,8192,4283,non-green-800,"2200.44,924.14;2492.72,3505.96;8135.37,2085.15;4051.55,510.07;2330.34,3562.79;2289.74,2872.68"
Karavatti_800_1.png,8192,4283,non-green-800,"2103.01,1614.25;2078.65,1614.25;2143.60,1216.42;1924.39,1151.47;1924.39,1143.35;2021.82,1045.92;885.17,1979.60;714.67,1662.96;6308.61,2280.00;5724.05,2385.55;5724.05,2393.67"
Karavatti_800_1.png,8192,4283,green-800,"3061.04,1784.75;2979.85,1711.68;1323.59,2669.71;1810.73,217.79;2947.38,323.34;5188.20,1711.68;3881.05,834.83;3328.97,924.14;8127.25,3010.70"
